Room	Start	End	Condition	MoveItem	Repeat	Block
Room_1	B	B	stay	yes	A	1
Room_7	B	A	stay	no	A	1
Room_4	A	B	stay	no	A	1
Room_2	B	B	stay	yes	A	1
Room_5	A	A	stay	yes	A	1
Room_14	A	B	stay	yes	A	1
Room_8	B	A	stay	no	A	1
Room_3	A	B	stay	no	A	1
Room_15	B	B	stay	yes	A	1
Room_19	B	B	stay	no	A	1
Room_6	A	B	walk	no	A	2
Room_32	B	A	walk	yes	A	2
Room_47	B	A	walk	yes	A	2
Room_10	A	B	walk	yes	A	2
Room_11	A	B	walk	no	A	2
Room_18	B	A	walk	yes	A	2
Room_13	B	A	walk	no	A	2
Room_22	A	B	walk	yes	A	2
Room_30	B	A	walk	no	A	2
Room_1	B	A	stay	yes	A	3
Room_21	B	B	stay	no	A	3
Room_9	B	B	stay	no	A	3
Room_16	A	A	stay	yes	A	3
Room_48	A	A	stay	no	A	3
Room_7	A	B	stay	yes	A	3
Room_42	B	B	stay	yes	A	3
Room_40	A	A	stay	no	A	3
Room_33	B	B	stay	no	A	3
Room_34	A	B	stay	yes	A	3
Room_4	B	B	walk	no	A	3
Room_12	A	A	walk	yes	A	3
Room_5	A	B	walk	no	A	3
Room_37	A	A	walk	yes	A	3
Room_29	A	B	walk	no	A	3
Room_23	B	B	walk	yes	A	3
Room_36	B	B	walk	no	A	3
Room_25	B	A	walk	no	A	3
Room_24	A	A	walk	yes	A	3
Room_45	B	A	stay	no	A	3
Room_20	B	A	stay	yes	A	3
Room_26	B	A	stay	yes	A	3
Room_28	A	B	stay	yes	A	3
Room_20	B	B	walk	no	B	4
Room_7	B	A	walk	no	B	4
Room_9	A	A	walk	yes	B	4
Room_11	A	A	walk	yes	B	4
Room_5	A	B	walk	no	B	4
Room_18	A	A	walk	yes	B	4
Room_30	B	B	walk	no	B	4
Room_19	A	B	walk	yes	B	4
Room_34	B	A	walk	yes	B	4
Room_24	B	A	walk	yes	B	4
Room_15	A	B	walk	no	B	4
Room_33	B	B	walk	no	B	4
Room_10	B	A	walk	no	B	4
Room_28	A	B	walk	no	B	4
Room_26	B	B	walk	yes	B	4
Room_17	A	A	walk	yes	B	4
Room_47	A	B	stay	no	B	5
Room_14	A	A	stay	no	B	5
Room_45	A	A	stay	yes	B	5
Room_27	B	A	stay	no	B	5
Room_38	A	B	stay	yes	B	5
Room_42	A	B	stay	no	B	5
Room_12	B	A	stay	yes	B	5
Room_16	B	B	stay	yes	B	5
Room_37	B	A	stay	yes	B	5
Room_3	B	B	stay	yes	B	5
Room_40	B	B	stay	no	B	5
Room_31	A	A	stay	yes	B	5
Room_8	B	A	stay	no	B	5
Room_22	B	B	stay	no	B	5
Room_6	A	B	stay	no	B	5
Room_35	A	A	stay	yes	B	5
Room_41	B	A	walk	yes	B	6
Room_23	A	B	walk	no	B	6
Room_29	A	A	walk	yes	B	6
Room_25	B	B	walk	yes	B	6
Room_39	A	B	walk	no	B	6
Room_44	B	B	walk	no	B	6
Room_32	A	A	walk	no	B	6
Room_21	B	A	walk	yes	B	6
Room_4	B	A	walk	no	B	6
Room_43	A	B	walk	yes	B	6
Room_1	B	B	walk	no	B	6
Room_46	B	B	walk	yes	B	6
Room_48	A	A	walk	yes	B	6
Room_36	A	B	walk	yes	B	6
Room_2	A	A	walk	no	B	6
Room_13	B	A	walk	no	B	6
