Room,Start,End,Condition,MoveItem,Repeat,Block
Room_55,B,B,stay,yes,A,1
Room_56,A,A,stay,no,B,1
Room_95,B,B,stay,no,A,1
Room_113,A,A,stay,yes,A,1
Room_48,A,A,stay,yes,A,1
Room_59,A,A,stay,no,A,1
Room_47,B,B,stay,yes,A,1
Room_21,B,B,stay,no,B,1
Room_23,B,A,stay,no,B,1
Room_94,B,A,stay,yes,A,1
Room_83,A,B,stay,yes,B,1
Room_104,A,B,stay,no,A,1
Room_28,A,B,stay,no,A,1
Room_72,B,A,stay,no,A,1
Room_81,B,A,stay,yes,A,1
Room_102,A,B,stay,yes,B,1
Room_63,B,A,walk,no,A,2
Room_112,A,B,walk,no,A,2
Room_40,B,A,walk,no,A,2
Room_29,A,B,walk,yes,A,2
Room_60,B,A,walk,no,B,2
Room_100,A,B,walk,no,B,2
Room_82,A,B,walk,no,B,2
Room_103,B,A,walk,yes,A,2
Room_61,B,B,walk,yes,A,2
Room_8,B,B,walk,no,B,2
Room_55,B,B,walk,yes,B,2
Room_60,A,A,walk,yes,A,2
Room_93,A,A,walk,no,A,2
Room_80,B,B,walk,yes,B,2
Room_115,A,A,walk,yes,A,2
Room_75,A,A,walk,yes,B,2
Room_42,B,B,stay,no,A,3
Room_66,A,A,stay,yes,A,3
Room_111,A,A,stay,no,B,3
Room_13,B,B,stay,no,B,3
Room_85,B,B,stay,yes,A,3
Room_49,B,B,stay,yes,A,3
Room_36,A,A,stay,no,B,3
Room_74,A,A,stay,yes,A,3
Room_120,A,B,stay,no,B,3
Room_71,B,A,stay,yes,B,3
Room_4,A,B,stay,no,A,3
Room_53,B,A,stay,yes,B,3
Room_33,A,B,stay,yes,A,3
Room_54,B,A,stay,no,B,3
Room_57,A,B,stay,yes,B,3
Room_50,B,A,stay,no,A,3
Room_26,A,B,walk,yes,B,4
Room_76,B,A,walk,no,B,4
Room_58,B,A,walk,yes,B,4
Room_93,A,B,walk,yes,B,4
Room_104,A,B,walk,no,B,4
Room_27,A,B,walk,no,A,4
Room_92,B,A,walk,yes,B,4
Room_107,B,A,walk,no,A,4
Room_29,B,B,walk,yes,B,4
Room_64,B,B,walk,yes,A,4
Room_67,A,A,walk,no,B,4
Room_105,A,A,walk,no,A,4
Room_8,B,B,walk,yes,A,4
Room_114,A,A,walk,yes,A,4
Room_89,B,B,walk,no,B,4
Room_17,A,A,walk,no,A,4
Room_64,A,A,stay,no,B,5
Room_111,B,B,stay,no,A,5
Room_77,A,A,stay,no,A,5
Room_77,A,A,stay,yes,B,5
Room_57,B,B,stay,yes,A,5
Room_25,A,A,stay,yes,B,5
Room_5,B,B,stay,no,A,5
Room_13,B,B,stay,yes,A,5
Room_14,B,A,stay,no,A,5
Room_7,A,B,stay,yes,A,5
Room_22,B,A,stay,no,B,5
Room_78,B,A,stay,yes,B,5
