Room,Start,End,Condition,MoveItem,Repeat,Block
Room_108,A,B,stay,yes,B,1
Room_4,A,B,stay,no,B,1
Room_25,B,A,stay,yes,B,1
Room_110,A,B,stay,no,B,1
Room_117,B,A,stay,no,B,1
Room_87,B,A,stay,yes,B,1
Room_45,A,B,stay,no,B,1
Room_85,B,A,stay,yes,B,1
Room_2,B,A,stay,no,B,1
Room_68,B,A,stay,yes,B,1
Room_58,B,A,stay,no,B,1
Room_99,B,A,stay,no,B,1
Room_115,A,B,stay,yes,B,1
Room_78,A,B,stay,yes,B,1
Room_28,A,B,stay,no,B,1
Room_44,A,B,stay,yes,B,1
Room_74,B,B,walk,no,B,2
Room_114,B,B,walk,yes,B,2
Room_88,B,B,walk,yes,B,2
Room_116,A,A,walk,yes,B,2
Room_10,B,B,walk,no,B,2
Room_59,A,A,walk,no,B,2
Room_47,B,B,walk,no,B,2
Room_21,A,A,walk,yes,B,2
Room_113,A,A,walk,no,B,2
Room_43,B,B,walk,yes,B,2
Room_71,A,A,walk,no,B,2
Room_62,B,B,walk,yes,B,2
Room_83,A,A,walk,no,B,2
Room_112,A,A,walk,no,B,2
Room_23,B,B,walk,yes,B,2
Room_16,A,A,walk,yes,B,2
Room_49,A,B,stay,yes,B,3
Room_98,A,B,stay,yes,B,3
Room_84,A,B,stay,yes,B,3
Room_14,B,A,stay,no,B,3
Room_81,A,B,stay,yes,B,3
Room_7,B,A,stay,no,B,3
Room_41,A,B,stay,no,B,3
Room_76,B,A,stay,yes,B,3
Room_60,A,B,stay,no,B,3
Room_111,B,A,stay,no,B,3
Room_119,B,A,stay,no,B,3
Room_101,B,A,stay,yes,B,3
Room_90,B,A,stay,no,B,3
Room_102,A,B,stay,no,B,3
Room_97,B,A,stay,yes,B,3
Room_118,A,B,stay,yes,B,3
Room_13,B,B,walk,yes,B,4
Room_75,A,A,walk,no,B,4
Room_31,B,B,walk,yes,B,4
Room_73,A,A,walk,no,B,4
Room_89,B,B,walk,no,B,4
Room_95,B,B,walk,no,B,4
Room_104,B,B,walk,yes,B,4
Room_72,A,A,walk,no,B,4
Room_103,A,A,walk,yes,B,4
Room_56,B,B,walk,no,B,4
Room_29,A,A,walk,yes,B,4
Room_57,A,A,walk,no,B,4
Room_52,B,B,walk,yes,B,4
Room_22,A,A,walk,yes,B,4
Room_94,A,A,walk,no,B,4
Room_18,B,B,walk,yes,B,4
